velocity:0,velocity:1,velocity:2,Normals:0,Normals:1,Normals:2,Points:0,Points:1,Points:2,Point ID
7.52157,-0.202473,0.0923014,4.63E-08,6.40E-07,-1,-160.445,-708.75,90,65
7.48835,-0.145428,0.0766263,4.15E-08,1.74E-07,-1,-78.75,-712.143,90,66
7.49026,-0.147434,0.076995,6.08E-08,1.14E-07,-1,-82.1341,-712.134,90,67
7.49639,-0.147571,0.0767482,7.11E-07,5.05E-06,-1,-78.75,-708.75,90,68
7.49748,-0.150495,0.0773059,1.22E-07,2.78E-06,-1,-82.2064,-708.75,90,69
7.45004,-0.073394,0.0602102,-4.14E-08,2.57E-07,-1,0,-712.318,90,70
7.45246,-0.076056,0.0606109,4.15E-08,2.16E-07,-1,-3.56467,-712.315,90,71
7.459,-0.0743304,0.0601212,-1.84E-08,6.50E-06,-1,0,-708.75,90,72
7.46095,-0.0783858,0.0607573,8.29E-08,5.65E-06,-1,-3.6502,-708.75,90,73
7.39329,0.00744714,0.0441234,-6.08E-08,1.74E-07,-1,78.75,-712.141,90,74
7.39617,0.00472896,0.044482,-4.15E-08,2.16E-07,-1,75.356,-712.144,90,75
7.40182,0.00793236,0.04384,-7.19E-07,4.45E-06,-1,78.75,-708.75,90,76
7.40475,0.00375004,0.044415,-8.29E-08,5.69E-06,-1,75.271,-708.75,90,77
7.31725,0.0850932,0.0306102,-2.32E-08,5.28E-08,-1,157.5,-711.651,90,78
7.32021,0.0829312,0.0308659,-6.08E-08,1.14E-07,-1,154.592,-711.658,90,79
7.32418,0.0865422,0.0302466,-5.36E-07,1.59E-06,-1,157.5,-708.75,90,80
7.32759,0.0832773,0.030635,-1.22E-07,2.84E-06,-1,154.521,-708.75,90,81
7.22589,0.14923,0.0210907,-3.14E-09,6.56E-09,-1,236.25,-710.948,90,82
7.2284,0.147927,0.021237,-2.32E-08,2.97E-08,-1,234.044,-710.956,90,83
7.23067,0.150873,0.0207826,-1.47E-07,2.78E-07,-1,236.25,-708.75,90,84
7.23373,0.14899,0.0209663,-4.63E-08,6.63E-07,-1,233.996,-708.75,90,85
7.126,0.194121,0.0160204,-1.43E-10,2.90E-10,-1,315,-710.152,90,86
7.12768,0.193571,0.0160711,-3.58E-09,3.87E-09,-1,313.592,-710.158,90,87
7.12871,0.195335,0.01583,-1.54E-08,2.14E-08,-1,315,-708.75,90,88
7.00178,0.144086,0.026966,-1.43E-10,2.90E-10,-1,315,-785.836,90,89
7.13077,0.19461,0.0158754,-6.27E-09,6.45E-08,-1,313.566,-708.75,90,90
7.0245,0.218507,0.0143611,-1.86E-12,3.71E-12,-1,393.75,-709.367,90,91
7.02523,0.218398,0.014366,-1.79E-10,1.82E-10,-1,393.13,-709.37,90,92
7.02555,0.219048,0.0142835,-7.08E-10,7.83E-10,-1,393.75,-708.75,90,93
6.96036,0.187352,0.020457,-1.86E-12,3.71E-12,-1,393.75,-753.182,90,94
7.00029,0.146558,0.0265983,-1.43E-10,1.47E-10,-1,318.702,-783.798,90,95
7.02644,0.218931,0.0142819,-2.86E-10,2.21E-09,-1,393.121,-708.75,90,96
6.9388,0.224177,0.0161064,-3.70E-12,2.55E-11,-1,462.644,-708.75,90,97
7.6826,-0.210531,0.13644,3.76E-11,3.87E-11,-1,-551.25,-630,90,98
7.68299,-0.210354,0.136404,1.10E-13,6.34E-14,-1,-551.404,-630.154,90,99
7.68278,-0.210431,0.136432,4.66E-14,1.39E-13,-1,-551.25,-630.155,90,100
7.69351,-0.200684,0.135431,4.36E-14,9.58E-14,-1,-551.25,-644.724,90,101
7.69523,-0.201734,0.134716,1.43E-13,4.93E-14,-1,-559.365,-638.115,90,102
7.68291,-0.21042,0.136397,1.86E-13,1.38E-13,-1,-551.405,-630,90,103
7.70597,-0.199822,0.132961,1.89E-13,1.14E-13,-1,-566.874,-630,90,104
7.60377,-0.25763,0.137023,7.63E-09,8.42E-09,-1,-472.5,-630,90,105
7.60623,-0.256023,0.136695,8.78E-11,4.36E-11,-1,-473.622,-631.122,90,106
7.60512,-0.256683,0.136891,2.08E-11,1.04E-10,-1,-472.5,-631.133,90,107
7.66327,-0.196352,0.1276,2.12E-11,7.07E-11,-1,-472.5,-703.301,90,108
7.66207,-0.19775,0.126377,2.83E-11,2.83E-11,-1,-492.186,-689.064,90,109
7.6659,-0.198573,0.126431,-4.86E-16,8.51E-14,-1,-516.277,-673.777,90,110
7.65653,-0.203697,0.125853,4.04E-11,2.21E-11,-1,-511.875,-669.375,90,111
7.60548,-0.25682,0.136789,1.35E-10,1.71E-10,-1,-473.636,-630,90,112
7.68263,-0.210504,0.136402,3.66E-12,3.75E-12,-1,-551.094,-630.156,90,113
7.64562,-0.230134,0.129928,7.07E-11,6.46E-12,-1,-511.875,-630.633,90,114
7.64518,-0.230589,0.129983,7.07E-11,9.81E-11,-1,-511.875,-630,90,115
7.68252,-0.210617,0.136415,6.36E-12,1.71E-10,-1,-551.092,-630,90,116
7.55079,-0.299539,0.136377,3.77E-07,4.72E-07,-1,-393.75,-630,90,117
7.55498,-0.29593,0.135581,1.19E-08,6.78E-09,-1,-396.075,-632.325,90,118
7.55337,-0.297078,0.135928,1.78E-09,1.37E-08,-1,-393.75,-632.353,90,119
7.6094,-0.219729,0.120633,1.60E-09,4.34E-09,-1,-394.382,-708.118,90,120
7.60895,-0.220057,0.12073,2.47E-09,6.11E-09,-1,-393.75,-708.11,90,121
7.59173,-0.240807,0.122848,4.28E-09,2.03E-09,-1,-433.125,-669.375,90,122
7.66139,-0.195826,0.126565,-1.24E-11,5.47E-11,-1,-469.265,-705.515,90,123
7.5535,-0.298091,0.135943,1.81E-08,3.39E-08,-1,-396.118,-630,90,124
7.60433,-0.257119,0.136633,1.09E-09,1.18E-09,-1,-471.356,-631.144,90,125
7.58088,-0.274325,0.129852,9.98E-09,1.99E-09,-1,-433.125,-631.74,90,126
7.57976,-0.275961,0.130128,9.98E-09,1.97E-08,-1,-433.125,-630,90,127
7.60358,-0.258205,0.136811,1.89E-09,3.39E-08,-1,-471.335,-630,90,128
7.52154,-0.328706,0.133245,5.94E-06,9.01E-06,-1,-315,-630,90,129
7.52672,-0.322628,0.131844,4.09E-07,2.90E-07,-1,-318.735,-633.735,90,130
7.52505,-0.323963,0.132339,5.17E-08,5.11E-07,-1,-315,-633.788,90,131
7.57034,-0.235231,0.113857,5.43E-08,1.44E-07,-1,-316.445,-707.305,90,132
7.56967,-0.235799,0.114059,6.77E-08,2.31E-07,-1,-315,-707.283,90,133
7.6087,-0.220168,0.120572,5.28E-10,5.73E-09,-1,-393.102,-708.102,90,134
7.54989,-0.266439,0.118436,2.21E-07,1.34E-07,-1,-354.375,-669.375,90,135
7.52459,-0.327182,0.132654,6.13E-07,1.64E-06,-1,-318.833,-630,90,136
7.55249,-0.297432,0.135335,6.22E-08,7.55E-08,-1,-391.37,-632.38,90,137
7.54032,-0.308988,0.127617,3.68E-07,1.39E-07,-1,-354.375,-633.087,90,138
7.53853,-0.312785,0.128296,3.68E-07,9.75E-07,-1,-354.375,-630,90,139
7.55108,-0.300381,0.135846,1.23E-07,1.64E-06,-1,-391.305,-630,90,140
7.51344,-0.332009,0.126263,3.61E-05,7.26E-05,-1,-236.25,-630,90.0004,141
7.51811,-0.324452,0.124342,4.57E-06,4.35E-06,-1,-241.491,-635.241,90.0003,142
7.51684,-0.324753,0.124783,5.11E-07,6.50E-06,-1,-236.25,-635.323,90.0003,143
7.54313,-0.232593,0.104481,7.04E-07,1.89E-06,-1,-238.54,-706.46,90,144
7.54255,-0.23282,0.104695,6.22E-07,2.98E-06,-1,-236.25,-706.421,90,145
7.56943,-0.235586,0.113647,-7.36E-09,2.03E-07,-1,-313.515,-707.265,90,146
